mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_regressor__max_depth,param_regressor__max_features,param_regressor__min_samples_leaf,param_regressor__min_samples_split,param_regressor__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.1637110710144043,0.017605765337513218,0.03893918991088867,0.001924429741333586,20,sqrt,8,8,171,"{'regressor__max_depth': 20, 'regressor__max_features': 'sqrt', 'regressor__min_samples_leaf': 8, 'regressor__min_samples_split': 8, 'regressor__n_estimators': 171}",-184969.28467780008,-92902.12491159563,-466854.2313452969,-1021938.7543800748,-663143.9181574399,-485961.6626944415,335893.524874084,17
0.3278031349182129,0.0031792627219248116,0.06994490623474121,0.0016122614279800013,10,,8,5,409,"{'regressor__max_depth': 10, 'regressor__max_features': None, 'regressor__min_samples_leaf': 8, 'regressor__min_samples_split': 5, 'regressor__n_estimators': 409}",-175269.17868099347,-24781.86345388212,-424439.2198371158,-1133004.4109153098,-519679.4382218447,-455434.8222218292,381613.2608520493,10
0.31746625900268555,0.01100358417865703,0.07560954093933106,0.014731334756606686,10,log2,5,3,393,"{'regressor__max_depth': 10, 'regressor__max_features': 'log2', 'regressor__min_samples_leaf': 5, 'regressor__min_samples_split': 3, 'regressor__n_estimators': 393}",-167099.19591838805,-87774.17129923393,-456411.72591464274,-1025005.8683562318,-641466.2582658726,-475551.4439508738,339207.3765164162,12
0.20294780731201173,0.00387267507406809,0.048135232925415036,0.0011266414635437384,20,log2,6,3,241,"{'regressor__max_depth': 20, 'regressor__max_features': 'log2', 'regressor__min_samples_leaf': 6, 'regressor__min_samples_split': 3, 'regressor__n_estimators': 241}",-171669.66247557595,-92488.0093299001,-467597.3682809471,-1026771.7477385618,-662799.2899716333,-484265.21555932367,339903.2007630892,15
0.2909220218658447,0.0016552377920770773,0.06303896903991699,0.00038727963089679214,20,sqrt,1,13,363,"{'regressor__max_depth': 20, 'regressor__max_features': 'sqrt', 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 13, 'regressor__n_estimators': 363}",-125856.42650954498,-22103.772975059765,-314284.0125959361,-865902.0116409732,-387817.13666189654,-343192.6720766821,292022.338824871,5
0.20289287567138672,0.00257888332995496,0.048238372802734374,0.002611754548680179,30,sqrt,1,11,237,"{'regressor__max_depth': 30, 'regressor__max_features': 'sqrt', 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 11, 'regressor__n_estimators': 237}",-122380.0917458614,-18454.561451348793,-318017.15315072995,-853244.4452982073,-376596.66396513203,-337738.5831222559,288432.5728786363,4
0.2963235855102539,0.0025578648757096996,0.06201438903808594,0.000730864093224617,10,,4,4,356,"{'regressor__max_depth': 10, 'regressor__max_features': None, 'regressor__min_samples_leaf': 4, 'regressor__min_samples_split': 4, 'regressor__n_estimators': 356}",-163448.73736837154,-8992.93910018232,-309587.16752909287,-1086100.8711089827,-444653.96269845107,-402556.7355610161,371406.3001724873,6
0.3439157962799072,0.00663127529578847,0.07332038879394531,0.001844263268493513,30,sqrt,7,19,437,"{'regressor__max_depth': 30, 'regressor__max_features': 'sqrt', 'regressor__min_samples_leaf': 7, 'regressor__min_samples_split': 19, 'regressor__n_estimators': 437}",-179907.07457247857,-90195.12235213183,-456614.0175311754,-1027601.430738466,-669401.4470536684,-484743.818449584,340052.41558653134,16
0.31527342796325686,0.0025770418057592614,0.06794576644897461,0.0016810767475312525,,log2,2,10,395,"{'regressor__max_depth': None, 'regressor__max_features': 'log2', 'regressor__min_samples_leaf': 2, 'regressor__min_samples_split': 10, 'regressor__n_estimators': 395}",-137125.51061480193,-39789.79390005651,-405054.4050271085,-943886.1026467327,-558944.4209224423,-416960.0466222284,322030.1670482915,8
0.384428596496582,0.004751122489068713,0.08705902099609375,0.014235430944954497,30,log2,4,16,493,"{'regressor__max_depth': 30, 'regressor__max_features': 'log2', 'regressor__min_samples_leaf': 4, 'regressor__min_samples_split': 16, 'regressor__n_estimators': 493}",-162730.89088954907,-83473.3301284547,-457121.2533074038,-1025755.9183129676,-660796.7550168782,-477975.6295310507,343200.5312305523,13
